"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","76/5608","99/9447",0.767676767676768,1.29319586737561,3.54433698879738,0.000191416588747074,0.00158146562607701,0.000748395685326905,"PRKCE/PLPP2/PLPP3/MARCKSL1/PAK1/WASF3/CFL2/PLA2G4F/PIP5K1B/PLA2G4A/FCGR3B/LIMK1/PIK3R1/GAB2/CRK/WASF1/ACTR3B/HCK/RPS6KB2/NCF1/FCGR3A/PRKCG/WASF2/ARPC1A/AKT3/PLA2G4C/SCIN/ARPC2/PLA2G4D/RPS6KB1/INPPL1/WAS/PIK3R3/FCGR1A/GSN/ARPC5L/PIP5K1A/FCGR2A/PIK3R2/LIMK2/PTPRC/PRKCD/MAPK3/AMPH/PLCG2/PIP5K1C/PRKCB/VAV2/DNM2/LAT/ARPC5/PLA2G6/ARPC1B/ASAP3/RAC2/SYK/ACTR3/MAPK1/ARPC3/CDC42/SPHK1/VASP/RAC1/ACTR3C/CFL1/AKT2/LYN/PLD1/BIN1/FCGR2B/PRKCA/PIK3CA/RAF1/PLPP1/MARCKS/ASAP1",76
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","36/5608","42/9447",0.857142857142857,1.44390666394946,3.48462322623891,0.00020840127792459,0.00168174984743797,0.000795853105415815,"SLC39A8/CP/SLC7A11/LPCAT3/GCLC/GSS/TF/CYBB/ACSL4/ACSL1/NCOA4/TFRC/PRNP/GCLM/STEAP3/ALOX15/MAP1LC3C/SLC39A14/HMOX1/SAT2/VDAC3/FTL/MAP1LC3B/TP53/ACSL5/SLC40A1/ATG7/SLC3A2/ACSL6/FTH1/PCBP2/ACSL3/GPX4/VDAC2/MAP1LC3A/SLC11A2",36
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","247/5608","362/9447",0.68232044198895,1.14940820532625,3.50336337606147,0.000238769259196221,0.00188302120320656,0.00089110058456006,"TEK/SPP1/ANGPT4/EFNA4/EFNA3/CCNE1/IL3RA/EFNA2/VWF/TNR/COL1A1/CSF3/PPP2R2C/THBS2/GNGT1/ITGA11/IBSP/VEGFD/CHRM1/GNG4/ITGA8/ANGPT1/CCNE2/TNXB/COL6A6/FGF19/IL6/IL7R/FGFR4/PDGFB/CREB3L4/SGK2/ARTN/GHR/FGF10/TLR4/COMP/FGF2/PPP2CB/BRCA1/LAMB2/FLT4/HSP90B1/GNB3/LPAR2/EGF/PIK3R1/FGFR2/LAMC3/GNG11/YWHAZ/PIK3R5/JAK3/MAGI1/BDNF/COL9A2/EFNA5/EIF4EBP1/CHRM2/GDNF/PPP2R3B/SGK1/CD19/ITGB4/FGF5/RET/RPS6KB2/NR4A1/COL1A2/CCND2/FOXO3/COL9A3/RXRA/ITGA2/GNGT2/PPP2R5A/COL2A1/HSP90AB1/COL6A3/TGFA/GNG2/CDKN1A/ITGAV/IL2RA/GNG7/CDK4/COL9A1/MCL1/PGF/LAMA4/COL6A5/ERBB2/THBS3/TNC/EIF4E1B/CREB3L2/MAGI2/AKT3/COL4A4/EREG/JAK2/IL6R/FGF20/BCL2L11/ERBB3/PSPN/ERBB4/COL4A3/RHEB/OSMR/PRKAA2/NTRK2/RPS6KB1/DDIT4/JAK1/PIK3R3/YWHAG/ITGA1/LAMB3/THBS4/ITGB8/GNB5/MET/KRAS/ITGA10/PPP2R5B/PRLR/SGK3/CSF3R/ATF6B/PTK2/CDK2/FLT1/MTOR/CCND3/PIK3R2/RBL2/LAMA2/ITGB3/MLST8/THEM4/CHAD/MAPK3/GNG3/PPP2R3A/LPAR5/FGF7/PHLPP2/COL4A5/PCK1/PPP2R1B/TP53/IKBKB/PDGFA/PIK3AP1/THBS1/IRS1/GNG13/GRB2/ITGA5/PTEN/TSC2/NRTN/PIK3CG/HGF/IL4R/PPP2R5E/LAMC2/GNB4/YWHAB/KDR/ITGA9/CRTC2/YWHAQ/PKN3/ATF2/LAMB4/LAMA3/IFNAR2/CSF1/NFKB1/PKN1/SYK/NGF/MTCP1/F2R/TLR2/PDGFC/GSK3B/LAMA1/CREB5/SOS2/MAPK1/GYS1/EFNA1/NTRK1/FGF8/FGFR1/RELN/TCL1A/COL4A2/PRKAA1/VEGFA/PDGFD/HSP90AA1/RAC1/YWHAH/LPAR4/PDPK1/COL4A6/PPP2R2D/AKT2/ITGB5/VTN/FGF18/CREB3L1/PPP2R5D/PCK2/CREB3/ITGA4/CREB3L3/G6PC3/IL7/PRKCA/PPP2R5C/VEGFC/EIF4E/PDGFRA/NTF3/CDKN1B/GNG5/EGFR/IL2/GNG8/NRAS/INSR/PIK3CA/LPAR6/COL6A1/RAF1/FLT3/MYC/ITGB7/CSF1R/TSC1/MAP2K2/HRAS",247
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","146/5608","205/9447",0.712195121951219,1.19973382972061,3.49433465047478,0.000244523812339202,0.00188555028626007,0.00089229742046586,"ENTPD8/CCNA2/CCNE1/E2F2/E2F3/HLA-E/CCNE2/GADD45B/IRAK1/IKBKE/IL6/SAP30L/TRAF5/BTK/HDAC1/IRF7/PIK3R1/E2F1/VIM/SKP2/SEM1/CASP3/PSMD4/TRAF2/JAK3/PSMD11/PSMD14/CD19/JUN/PDIA3/NFKBIA/ITGAL/CCND2/PSMC4/CALR/TNFAIP3/BAK1/IRF3/CD44/CDKN1A/ISG15/OAS1/MYD88/CDK4/STAT2/B2M/PSMD3/PSMC6/AKT3/PSMD12/BCL2L11/IRF9/HLA-DRA/HDAC2/PSMD1/HLA-DPA1/CR2/JAK1/OAS3/TRAF6/MAPK13/HLA-DOA/PIK3R3/HLA-DPB1/PSMD2/STAT1/HLA-DRB1/ICAM1/FADD/PSMD7/CASP8/ADRM1/PSMC5/HLA-DRB5/MAP3K14/CYCS/CDK2/CCND3/NFKBIE/PIK3R2/MAP2K6/PLCG2/TRADD/HLA-DQA1/TP53/IKBKB/PSMC2/MAPK10/MAP2K3/CD58/RB1/STAT3/HES1/BLNK/HLA-DQB1/CD247/CCNA1/PSMD13/CXCL10/CIR1/HLA-DMA/MAPK11/MAPK12/HLA-DMB/GADD45G/TAB2/IRAK4/SAP30/TAP1/RIPK1/IFNAR2/PSMD8/NFKB1/SYK/TYK2/MAP3K7/TLR2/FAS/TBK1/GADD45A/ENTPD1/RUNX3/HLA-C/CD40/PSMC3/MAP2K4/RAC1/EIF2AK2/BAX/AKT2/LYN/PSMC1/POLK/BID/HLA-DOB/NCOR2/MAVS/ENTPD3/CDKN1B/HLA-B/PIK3CA/CD3D/MYC/TAB1/USP7/FCER2",146
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","138/5608","193/9447",0.715025906735751,1.20450245023763,3.46921599307213,0.000269243849997479,0.00201560202903901,0.000953841700379449,"GRK5/ADCY4/FGR/GNAQ/GNGT1/PAK1/CXCR2/CXCL14/RAC3/GNG4/CCL23/CXCR1/RAP1A/CXCL2/ARRB1/ARRB2/PREX1/STAT5B/GNAI2/GNB3/CCL24/CXCL13/SHC3/PIK3R1/GNG11/CXCL16/PIK3R5/JAK3/ADCY9/CRK/CCL2/CCL25/CCR8/RHOA/HCK/NFKBIA/FOXO3/CXCL3/NCF1/CXCL12/SHC1/GNGT2/CCL14/GNG2/CX3CR1/ADCY8/GNG7/RASGRP2/STAT2/PF4/AKT3/PTK2B/ELMO1/JAK2/CCL7/DOCK2/CCR3/CCR1/WAS/PRKCZ/PIK3R3/PPBP/STAT1/PRKACA/GNB5/KRAS/CCL16/SRC/CXCL9/PTK2/GRK1/CX3CL1/CCL18/PIK3R2/PRKCD/PLCB1/CCL28/MAPK3/CCL1/CCL26/GNG3/PLCG2/IKBKB/ROCK1/PRKCB/VAV2/CCL4/CCL20/GRK3/GNG13/CCL19/GRB2/CCL22/STAT3/TIAM1/PIK3CG/CCR10/CXCL10/PLCB3/GNB4/GSK3A/CXCL6/CCL21/CXCR5/NFKB1/RAC2/PLCB2/GSK3B/SOS2/MAPK1/RAP1B/PXN/CDC42/PLCB4/XCR1/ADCY7/CCL3/RAC1/CXCL11/CCL11/AKT2/CXCL1/LYN/PARD3/GRK4/GRK2/GNAI1/CCL8/ROCK2/CXCR3/GNG5/GNG8/NRAS/PIK3CA/SHC2/RAF1/CCR2/HRAS",138
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","115/5608","158/9447",0.727848101265823,1.2261021777208,3.46391897151249,0.000273006614884246,0.00201560202903901,0.000953841700379449,"WNT3A/WNT3/SLC7A5/ATP6V1C2/CAB39L/FZD4/ULK2/TTI1/DEPTOR/PIK3R1/SKP2/EIF4EBP1/TBC1D7/SGK1/RHOA/ATP6V1B2/WNT9A/RPS6KB2/TELO2/WNT2B/FZD9/RRAGB/PRKCG/FLCN/WNT10A/WNT6/RPS6KA1/RRAGA/EIF4E1B/SEC13/LPIN3/AKT3/WNT7A/NPRL2/SLC38A9/PRR5/FZD3/LAMTOR2/RHEB/PRKAA2/RPS6KA2/WDR59/RPS6KB1/DDIT4/ATP6V1E2/DVL3/WNT16/PIK3R3/ULK1/FZD5/STRADA/WNT2/WNT10B/KRAS/WNT8B/MTOR/WDR24/PIK3R2/MLST8/RNF152/MAPK3/WNT11/DVL1/WNT5B/CASTOR1/IKBKB/PRKCB/ATP6V1E1/SEH1L/MIOS/IRS1/NPRL3/GRB2/STRADB/FZD10/PRR5L/PTEN/TSC2/DEPDC5/ATP6V1C1/GRB10/LAMTOR5/WNT1/WNT7B/RRAGD/FNIP2/FZD7/RRAGC/WNT9B/AKT1S1/SLC3A2/LAMTOR3/GSK3B/SOS2/MAPK1/PRKAA1/FZD8/PDPK1/DVL2/AKT2/FZD6/RICTOR/LRP5/PRKCA/ATP6V1B1/EIF4E/NRAS/INSR/PIK3CA/LPIN2/RAF1/TSC1/MAP2K2/HRAS/LAMTOR1",115
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","89/5608","119/9447",0.747899159663866,1.25987934403433,3.44802091032558,0.000286660251254406,0.00207231473302665,0.00098067980692297,"VEGFD/SELE/MMP3/IL6/CXCL2/CREB3L4/EDN1/DAB2IP/TRAF5/SOCS3/MAP3K8/PIK3R1/PGAM5/CASP3/TRAF2/IL18R1/JUNB/MMP9/CCL2/FOS/JUN/NFKBIA/CXCL3/MMP14/TNFAIP3/RHBDF2/CFLAR/CREB3L2/AKT3/MAPK13/PIK3R3/TRAF1/ICAM1/FADD/CASP8/RHBDF1/MAP3K14/ATF6B/CX3CL1/TNFRSF1B/IL1B/PIK3R2/MAPK3/LTA/IRF1/MAP2K6/TRADD/FRMD8/IKBKB/CYLD/MAPK10/XIAP/MAP2K3/CCL20/CXCL10/DNM1L/MAPK11/MAPK12/RPS6KA5/TAB2/ITCH/CXCL6/ATF2/RIPK1/RPS6KA4/LIF/CSF1/NFKB1/IL15/MAP3K7/FAS/CREB5/MAPK1/VCAM1/BAG4/MAP2K4/ADAM17/AKT2/CXCL1/CREB3L1/CASP7/JAG1/CREB3/CREB3L3/VEGFC/PIK3CA/TAB1/CSF2/BIRC3",89
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","35/5608","41/9447",0.853658536585366,1.43803712466511,3.39718562502525,0.000303772258212755,0.00215120354285359,0.00101801229390311,"MMP1/HBEGF/E2F2/E2F3/CDKN2A/DAPK2/UPK3A/EGF/E2F1/CDH1/MMP9/RASSF1/DAPK1/CDKN1A/CDK4/ERBB2/KRAS/SRC/TYMP/MAPK3/TP53/THBS1/RB1/RPS6KA5/DAPK3/MAPK1/VEGFA/ARAF/EGFR/NRAS/RAF1/MYC/MMP2/MAP2K2/HRAS",35
"hsa04929","Organismal Systems","Endocrine system","hsa04929","GnRH secretion","52/5608","65/9447",0.8,1.34764621968616,3.39911135466512,0.000330107178784981,0.00226674657295294,0.0010726906275767,"SPP1/KISS1R/KCNN4/GNAQ/HCN3/ARRB1/GPER1/ARRB2/CGA/CACNA1S/PIK3R1/HCN2/KCNJ5/LHB/GNA11/CACNA1I/PRKCG/KISS1/TRPC4/AKT3/KCNN1/KCNN3/GABBR2/KCNJ6/PIK3R3/KRAS/PIK3R2/HCN1/PLCB1/MAPK3/CACNA1G/PRKCB/CACNA1C/GNRH2/ITPR1/PLCB3/KCNJ11/PLCB2/MAPK1/KCNN2/PLCB4/AKT2/PRKCA/NRAS/GABBR1/PIK3CA/RAF1/ESR2/ITPR3/MAP2K2/HRAS/CACNA1F",52
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","61/5608","78/9447",0.782051282051282,1.31741056732141,3.40205225656555,0.000333152954526225,0.00226674657295294,0.0010726906275767,"ITPKA/SYNJ2/INPP5K/MIOX/INPP5A/PIP5K1B/FIG4/SACM1L/PLCE1/TPI1/MTMR4/ITPKC/PIP5KL1/MTM1/IP6K1/ISYNA1/ITPK1/MTMR6/MTMR14/OCRL/PIP4K2C/INPP1/INPPL1/INPP4B/PLCH2/PIP5K1A/PLCD1/PLCZ1/MTMR7/MINPP1/PPIP5K1/ITPKB/PLCB1/PLCG2/IMPA2/INPP5B/INPP5F/MTMR1/PIP5K1C/PIK3C2G/PTEN/PIK3CG/PI4K2A/PLCB3/PI4KB/PIK3C2A/SYNJ1/PIK3C3/PLCB2/IP6K3/PI4K2B/PLCB4/PIK3C2B/IP6K2/PLCD3/IPMK/MTMR3/PIK3CA/PI4KA/PLCH1/CDIPT",61
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","79/5608","105/9447",0.752380952380952,1.26742918280008,3.3304462757061,0.000450469337015569,0.0029852434591245,0.00141270432162422,"MRAS/MTX2/RRAS/MTX1/PGAM5/E2F1/MITF/TRAF2/BNIP3/BECN2/CCZ1B/ATG9B/JUN/FUNDC1/FOXO3/TOMM70/GABARAPL1/CCZ1/CALCOCO2/RHOT2/TOMM40/CITED2/CSNK2B/TBC1D15/MAP1LC3C/ULK1/TOMM40L/HIF1A/MARCHF5/CSNK2A1/KRAS/PINK1/SRC/RAB5B/MFN1/OPA1/TAX1BP1/PRKN/USP30/GABARAPL2/MAP1LC3B/MFN2/MUL1/TP53/TBC1D17/MAPK10/USP8/UBB/HUWE1/RHOT1/TOMM20/RAB7A/TFE3/BNIP3L/TFEB/EIF2AK3/PHB2/SMURF1/RABGEF1/FKBP8/BECN1/TBK1/SQSTM1/OPTN/RAB5A/UBC/RAB5C/CSNK2A3/RRAS2/VCP/MAP1LC3A/NRAS/MTX3/RPS27A/GABARAP/HRAS/EIF2S1/MON1B/AMFR",79
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","213/5608","311/9447",0.684887459807074,1.15373249514933,3.3318599804983,0.000455959375601149,0.0029852434591245,0.00141270432162422,"TUBB3/STX1A/GPX2/COX7A1/COX4I2/TUBB1/DNAH14/GNAQ/GRIN1/POLR2H/GRIA1/GPX3/TUBB2B/CREB3L4/COX6B2/PPIF/KIF5A/ULK2/NDUFA13/POLR2D/HDAC1/SEM1/TUBB6/CASP3/PSMD4/TRAF2/BECN2/PSMD11/BDNF/PSMB4/KCNJ10/TUBB8/PSMD14/TAF4/PPARG/GPX8/CLTC/PSMC4/TUBA1A/COX7B2/NDUFS6/TUBA1C/SDHA/PSMA6/DNAL1/NDUFS2/TUBB4A/VDAC1/UQCRH/UQCRHL/PSMB3/TUBA4A/CYC1/NDUFS8/PSMA5/NDUFV2/KLC3/PSMB2/PSMD3/TUBA3D/TUBB2A/PSMB5/POLR2J/CREB3L2/PSMC6/KLC2/DNAH10/PSMD12/TUBB/HDAC2/PSMA1/PSMD1/CACNA1B/COX6C/DCTN5/TUBAL3/ULK1/POLR2B/ATP5PD/PSMD2/TGM2/ATP5MC1/TFAM/IFT57/NDUFV1/BBC3/PSMD7/WIPI2/PSMA2/DNAI2/CASP8/SDHC/ADRM1/PSMC5/DNAH9/DNAI1/CYCS/NDUFB4/NDUFB9/KIF5C/DCTN1/COX6B1/VDAC3/SLC25A4/MTOR/ACTR1A/NDUFS5/NDUFAB1/COX6A1/DNAH6/POLR2I/DNAH12/PLCB1/NDUFB11/TAF4B/MT-ND6/GRIA4/SOD1/NDUFA10/ATG14/POLR2G/RCOR1/GRIA2/HAP1/UQCRQ/PSMA3/TP53/PSMC2/MAPK10/COX5B/NDUFS1/COX5A/ATP5MC3/TUBA8/NDUFA12/ATP5F1C/ITPR1/GPX7/PSMD13/DCTN6/NDUFB10/NDUFA11/POLR2J3/PLCB3/HTT/ATP5F1E/DCTN3/PSMB7/DLG4/MT-ND5/HIP1/PIK3C3/TUBB8B/DNAH7/POLR2F/PSMA7/POLR2K/MAP3K10/DNAH2/PSMA4/ATP5MC2/PSMD8/WIPI1/NDUFB3/SLC1A2/PLCB2/NDUFA9/UQCRC1/DNAH1/CREB5/BECN1/NDUFB8/NDUFA8/NDUFS3/DNALI1/NDUFA7/POLR2J2/COX8A/PSMC3/DCTN4/PLCB4/ATG2B/ATP5F1B/ATG2A/AP2A1/DNAH11/BAX/NDUFA1/SLC25A5/NRF1/EP300/CREB3L1/PSMC1/VDAC2/PSMD9/DCTN2/CREB3/CREB3L3/AP2S1/DNAH3/COX7B/PPARGC1A/NDUFV3/COX7A2/MT-ND3/ATP5PF/ATG101/NDUFB2/PSMB6/UQCRC2/UQCRFS1/REST/CLTCL1",213
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","62/5608","80/9447",0.775,1.30553227532097,3.31681115010154,0.000467640472910968,0.00300502303889085,0.00142206459598657,"GAS6/GAB1/IL6/PDGFB/FGF2/EGF/SHC3/PIK3R1/FGFR2/EIF4EBP1/RPS6KB2/FOXO3/SHC1/NRG1/PRKCG/TGFA/AXL/ERBB2/EIF4E1B/AKT3/JAK2/IL6R/BCL2L11/ERBB3/RPS6KB1/JAK1/PIK3R3/MET/KRAS/SRC/NF1/MTOR/PIK3R2/MAPK3/PLCG2/PRKCB/PDGFA/GRB2/STAT3/PTEN/HGF/KDR/NRG2/PDGFC/GSK3B/SOS2/MAPK1/VEGFA/PDGFD/BAX/AKT2/ARAF/PRKCA/EIF4E/PDGFRA/EGFR/NRAS/PIK3CA/SHC2/RAF1/MAP2K2/HRAS",62
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","41/5608","50/9447",0.82,1.38133737517832,3.26752319138675,0.000542085233612068,0.00342006501933432,0.00161847457308101,"PECAM1/HBA2/HBB/HBA1/GYPC/SELP/CSF3/THBS2/CD36/SELE/IL6/TLR4/COMP/ACKR1/CD81/CCL2/ITGAL/SDC2/LRP1/MYD88/THBS3/SDC1/THBS4/ICAM1/MET/TGFB2/IL1B/IFNG/THBS1/TGFB1/KLRB1/HGF/ITGB2/IL12A/CD40LG/CR1/TLR2/VCAM1/CD40/IL18/CR1L",41
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","57/5608","73/9447",0.780821917808219,1.31533963222793,3.26886081623499,0.000559628357927313,0.00342476125821033,0.00162069697036497,"E2F2/E2F3/CDKN2A/GADD45B/STAT5B/KIF5A/EGF/PIK3R1/E2F1/JAK3/RET/RXRG/STAT5A/FOXO3/RXRA/RASSF1/BAK1/PRKCG/TGFA/CDKN1A/CDK4/ERBB2/AKT3/RASSF5/PIK3R3/MET/KRAS/KIF5C/PIK3R2/MAPK3/STK4/PLCG2/TP53/PRKCB/GRB2/EML4/RB1/STAT3/HGF/GADD45G/RARB/SOS2/MAPK1/GADD45A/PDPK1/BAX/AKT2/POLK/ARAF/PRKCA/ALK/EGFR/NRAS/PIK3CA/RAF1/MAP2K2/HRAS",57
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","74/5608","98/9447",0.755102040816326,1.27201301347929,3.27144073270171,0.000562568852213224,0.00342476125821033,0.00162069697036497,"ITPKA/SYNJ2/CALM1/INPP5A/PIP5K1B/SACM1L/PLCE1/MTMR4/PIK3R1/DGKI/ITPKC/MTM1/CALML6/DGKA/CALML5/PRKCG/CDS2/IP6K1/ITPK1/MTMR6/MTMR14/OCRL/PIP4K2C/INPP1/INPPL1/PIK3R3/INPP4B/PIP5K1A/PLCD1/DGKK/PLCZ1/MTMR7/PPIP5K1/PIK3R2/ITPKB/PLCB1/PLCG2/IMPA2/INPP5B/INPP5F/MTMR1/PIP5K1C/PRKCB/PIK3C2G/DGKQ/ITPR1/PTEN/PI4K2A/PLCB3/PI4KB/PIK3C2A/SYNJ1/PIK3C3/DGKB/CALML4/PLCB2/IP6K3/PI4K2B/PLCB4/PIK3C2B/PIP4P2/IP6K2/PLCD3/DGKZ/IPMK/DGKE/PRKCA/DGKG/MTMR3/BPNT2/PIK3CA/PI4KA/ITPR3/CDIPT",74
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","61/5608","79/9447",0.772151898734177,1.30073448419076,3.24408520017256,0.000618226245372381,0.00369494336525512,0.00174855502799878,"EEF1A2/MARCKSL1/IRAK1/NCF2/TLR4/FCGR3B/FOS/IFNGR1/JUN/NFKBIA/NCF1/FCGR3A/CYBB/MYD88/PTPN6/IFNGR2/JAK2/HLA-DRA/HLA-DPA1/JAK1/TRAF6/MAPK13/HLA-DOA/FCGR1A/HLA-DPB1/STAT1/HLA-DRB1/ITGAM/HLA-DRB5/FCGR2A/TGFB2/IL1B/MAPK3/NCF4/HLA-DQA1/IL1A/IFNG/ELK1/PRKCB/TGFB1/HLA-DQB1/ITGB2/IL12B/HLA-DMA/MAPK11/MAPK12/HLA-DMB/TAB2/IL12A/IRAK4/CR1/NFKB1/MAP3K7/TLR2/MAPK1/EEF1A1/ITGA4/HLA-DOB/CR1L/NOS2/TAB1",61
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","113/5608","157/9447",0.719745222929936,1.21245241102338,3.2443115323163,0.000628246854611101,0.00369494336525512,0.00174855502799878,"BIRC5/BMPR2/BMP8A/WNT3A/TGFBR2/WNT3/LATS2/PPP2R2C/SMAD7/FZD4/PPP2CB/DLG5/CCN2/WWTR1/DLG3/LIMD1/YWHAZ/CDH1/BMP8B/BMP2/SCRIB/WNT9A/PARD6B/CCND2/RASSF1/WNT2B/FZD9/AFP/APC/WNT10A/NKD2/NKD1/WNT6/PALS1/ID2/BMPR1A/WNT7A/WWC1/RASSF6/FZD3/AXIN1/LEF1/TP53BP2/AMH/DVL3/PRKCZ/WNT16/YWHAG/FZD5/BBC3/WNT2/WNT10B/TGFB2/SMAD4/WNT8B/SOX2/AXIN2/CCND3/SMAD1/WNT11/DVL1/WNT5B/PPP2R1B/ID1/SAV1/CSNK1E/TGFB1/PPP1CA/FZD10/BMP5/WTIP/LLGL1/TEAD1/ITGB2/STK3/WNT1/TEAD3/TEAD4/YWHAB/WNT7B/DLG4/FRMD6/AJUBA/YWHAQ/TCF7L2/FZD7/ACTG1/PPP1CC/LLGL2/WNT9B/GSK3B/CSNK1D/CTNNA2/FZD8/LATS1/CTNNA3/SERPINE1/YWHAH/TCF7L1/DVL2/BMP7/PPP2R2D/PARD3/FZD6/TEAD2/CRB1/MOB1B/AMOT/CTNNB1/YAP1/MYC/GDF6/BIRC3",113
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","38/5608","46/9447",0.826086956521739,1.39159120511071,3.2176865548185,0.000653765935069509,0.00378094632448532,0.00178925413808497,"SEM1/PSMD4/PSMD11/PSMB4/PSMD14/PSMC4/PSMA6/PSME4/PSMB3/PSMA5/PSMB2/PSMD3/PSMB5/PSMC6/PSMD12/PSMA1/PSMD1/PSMD2/PSMD7/PSMA2/PSME3/ADRM1/PSME2/PSMC5/IFNG/PSMA3/PSMC2/PSMD13/PSMB7/PSMA7/PSMA4/PSMD8/PSMC3/PSMB8/POMP/PSMC1/PSMD9/PSMB6",38
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","77/5608","103/9447",0.747572815533981,1.25932959849314,3.19832948766326,0.00074030480290905,0.0042112420755646,0.00199288264458692,"PLPP2/PNPLA6/GPD1/PLPP3/PLPP4/PLA2G4F/PLA2G2F/SELENOI/LPGAT1/LPCAT3/PLA2G4A/PLA2G2C/PHOSPHO1/PLPP5/SGMS2/ACHE/DGKI/LCLAT1/ETNPPL/PLA2G5/DGKA/AGPAT4/LYPLA2/PCYT1B/CHAT/ETNK2/CDS2/MBOAT1/LYPLA1/PLA2G15/PLA2G1B/LPIN3/PLA2G4C/MBOAT7/GPD1L/PLA2G4D/GNPAT/CHKB/TAFAZZIN/CHPT1/AGPAT5/DGKK/GPD2/PLA2G3/GPAT2/MBOAT2/PLA1A/GPAT4/LPCAT4/PLA2G10/LCAT/SGMS1/DGKQ/PLA2G2D/PLA2G2A/PISD/PLA2G6/LOC128966744/DGKB/CEPT1/PLB1/ADPRM/CRLS1/LPCAT2/GPAM/ETNK1/DGKZ/PLD1/PLA2G12A/PGS1/DGKE/DGKG/PTDSS2/LPIN2/PLPP1/SAMD8/CDIPT",77
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","151/5608","216/9447",0.699074074074074,1.17763066650816,3.1918271348806,0.000759608651766473,0.00425135809940268,0.00201186671775161,"AGER/MMP1/LDLR/ERO1A/SELP/CD36/OLR1/HSPD1/SELE/IRAK1/MMP3/CALM1/IKBKE/IL6/RAP1A/NCF2/CXCL2/TLR4/ABCG1/CASP6/NFATC1/HSPA5/HSP90B1/PPP3CC/IRF7/PIK3R1/CASP3/TRAF2/MMP9/CCL2/FOS/CALML6/RHOA/JUN/PPARG/NFKBIA/NOX1/CAMK2A/CALML5/RXRG/LBP/CXCL3/RXRA/NCF1/CAMK2B/CYBB/HSP90AB1/IRF3/NFATC3/MYD88/NFE2L2/CASP1/AKT3/JAK2/VLDLR/TRAF6/MAPK13/PIK3R3/TNFRSF10A/ICAM1/KRAS/CASP8/CYP2J2/HSPA6/SRC/APOA1/CYCS/NLRP3/PTK2/CYP2C9/HSPA1B/ABCA1/IL1B/PIK3R2/DDIT3/PLCB1/HSPA1L/MAPK3/CYP2B6/NCF4/MAP2K6/HSPA4/TLR6/TP53/IKBKB/CYP1A1/MAPK10/VAV2/NFATC2/MAP2K3/XBP1/HSPA1A/STAT3/ITPR1/IL12B/PLCB3/TNFSF10/MAPK11/MAPK12/TAB2/IL12A/IRAK4/POU2F1/CD40LG/EIF2AK3/TNFRSF10B/NFKB1/APOB/CALML4/PLCB2/MAP3K7/TLR2/FAS/GSK3B/MAPK1/TBK1/POU2F3/VCAM1/RAP1B/TICAM1/CD40/MAP2K4/CDC42/PLCB4/HSP90AA1/CCL3/RAC1/PPP3CB/IL18/PDPK1/BAX/CD14/AKT2/CXCL1/PPP3CA/LYN/CASP7/POU2F2/PYCARD/BID/ROCK2/HSPA8/PRKCA/MIB1/NRAS/PIK3CA/HSPA2/TAB1/CYP2A7/HRAS/EIF2S1",151
